user_id,lat,lon,timestamp
26560391,40.84,14.1691,2025-02-18 02:22:25.053
26546014,40.8442,14.0981,2025-02-18 02:22:25.059
26242805,40.836,14.0974,2025-02-18 02:22:25.063
26539041,40.8402,14.0984,2025-02-18 02:22:25.064
24795067,40.8163,14.1659,2025-02-18 02:22:25.074
22329210,40.8568,14.1773,2025-02-18 02:22:25.084
24566155,40.8566,14.1538,2025-02-18 02:22:25.087
26539795,40.818,14.1652,2025-02-18 02:22:25.092
26242340,40.8491,14.158,2025-02-18 02:22:25.096
21779574,40.857,14.1776,2025-02-18 02:22:25.099
25185580,40.856,14.1494,2025-02-18 02:22:25.102
24691764,40.8372,14.094,2025-02-18 02:22:25.105
26550929,40.8522,14.1676,2025-02-18 02:22:25.109
22322064,40.8605,14.1497,2025-02-18 02:22:25.111
24709082,40.8599,14.1472,2025-02-18 02:22:25.118
26558335,40.8231,14.1383,2025-02-18 02:22:25.121
26393299,40.8558,14.1694,2025-02-18 02:22:25.125
22208097,40.8322,14.0962,2025-02-18 02:22:25.130
24810571,40.8337,14.1088,2025-02-18 02:22:25.152
26517384,40.8568,14.1624,2025-02-18 02:22:25.153
1720200,40.8565,14.174,2025-02-18 02:22:25.155
22326124,40.8151,14.164,2025-02-18 02:22:25.165
24815470,40.8651,14.1477,2025-02-18 02:22:25.168
24853486,40.836,14.0979,2025-02-18 02:22:25.172
26538921,40.84,14.0986,2025-02-18 02:22:25.172
22280113,40.8576,14.152,2025-02-18 02:22:25.173
21384544,40.8333,14.1006,2025-02-18 02:22:25.176
24809034,40.8396,14.1078,2025-02-18 02:22:25.192
24691426,40.8349,14.098,2025-02-18 02:22:25.192
24558467,40.8346,14.0953,2025-02-18 02:22:25.194
22328278,40.854,14.1608,2025-02-18 02:22:25.204
22238771,40.8457,14.0967,2025-02-18 02:22:25.204
26549217,40.8149,14.1683,2025-02-18 02:22:25.206
24760218,40.8195,14.1591,2025-02-18 02:22:25.208
24797464,40.8663,14.1426,2025-02-18 02:22:25.234
22444992,40.868,14.1063,2025-02-18 02:22:25.238
22323488,40.838,14.1685,2025-02-18 02:22:25.241
22412639,40.8567,14.1658,2025-02-18 02:22:25.244
22265190,40.8345,14.0965,2025-02-18 02:22:25.245
22270128,40.8582,14.1676,2025-02-18 02:22:25.255
22333336,40.8537,14.1729,2025-02-18 02:22:25.256
26516827,40.8265,14.1269,2025-02-18 02:22:25.258
24947955,40.8479,14.0889,2025-02-18 02:22:25.267
24692343,40.8572,14.1702,2025-02-18 02:22:25.275
22208314,40.8477,14.1791,2025-02-18 02:22:25.283
22326464,40.8665,14.1452,2025-02-18 02:22:25.286
26562318,40.8624,14.1431,2025-02-18 02:22:25.297
25476602,40.8739,14.1369,2025-02-18 02:22:25.308
24817049,40.8477,14.0901,2025-02-18 02:22:25.310
26539245,40.8329,14.1149,2025-02-18 02:22:25.314
20300476,40.8721,14.1419,2025-02-18 02:22:25.322
25853454,40.8362,14.0986,2025-02-18 02:22:25.339
24691415,40.8315,14.1556,2025-02-18 02:22:25.344
26544750,40.8322,14.1965,2025-02-18 02:22:25.353
24797327,40.8704,14.1307,2025-02-18 02:22:25.356
24530380,40.8605,14.1217,2025-02-18 02:22:25.358
25671663,40.8634,14.1464,2025-02-18 02:22:25.367
26095977,40.8695,14.1374,2025-02-18 02:22:25.375
22341483,40.8555,14.1536,2025-02-18 02:22:25.384
24831230,40.8598,14.1749,2025-02-18 02:22:25.396
26557162,40.857,14.1732,2025-02-18 02:22:25.398
25064735,40.8471,14.1789,2025-02-18 02:22:25.399
26517547,40.8683,14.1285,2025-02-18 02:22:25.403
22304668,40.8134,14.1899,2025-02-18 02:22:25.407
22306305,40.8321,14.1935,2025-02-18 02:22:25.412
26548345,40.848,14.089,2025-02-18 02:22:25.415
25910534,40.8455,14.1863,2025-02-18 02:22:25.422
24833810,40.8329,14.1261,2025-02-18 02:22:25.424
25945542,40.8567,14.1745,2025-02-18 02:22:25.435
25644393,40.8675,14.1313,2025-02-18 02:22:25.441
25126173,40.8414,14.0898,2025-02-18 02:22:25.446
22270412,40.8524,14.1746,2025-02-18 02:22:25.451
26558580,40.8147,14.1678,2025-02-18 02:22:25.470
24691901,40.8424,14.0808,2025-02-18 02:22:25.471
24817151,40.856,14.1783,2025-02-18 02:22:25.471
24825510,40.8631,14.1717,2025-02-18 02:22:25.480
26531126,40.8364,14.1169,2025-02-18 02:22:25.487
24829000,40.8793,14.1431,2025-02-18 02:22:25.495
26554008,40.8325,14.0927,2025-02-18 02:22:25.495
22265080,40.8524,14.1774,2025-02-18 02:22:25.505
24902440,40.8255,14.1724,2025-02-18 02:22:25.520
22314391,40.8315,14.087,2025-02-18 02:22:25.538
24902952,40.8622,14.1506,2025-02-18 02:22:25.555
26550724,40.8561,14.1504,2025-02-18 02:22:25.562
22450208,40.8347,14.1965,2025-02-18 02:22:25.573
25476595,40.8492,14.1667,2025-02-18 02:22:25.577
24696699,40.8184,14.1778,2025-02-18 02:22:25.581
22828396,40.8515,14.1147,2025-02-18 02:22:25.582
24810490,40.8468,14.263,2025-02-18 02:22:25.587
6592023,40.8588,14.1777,2025-02-18 02:22:25.593
22326080,40.8743,14.135,2025-02-18 02:22:25.603
22322763,40.8513,14.1701,2025-02-18 02:22:25.603
26545615,40.8777,14.1345,2025-02-18 02:22:25.603
22309678,40.8486,14.1296,2025-02-18 02:22:25.622
24811446,40.8192,14.1811,2025-02-18 02:22:25.632
24558650,40.8491,14.1738,2025-02-18 02:22:25.638
24752096,40.8795,14.1333,2025-02-18 02:22:25.641
26561001,40.8786,14.1435,2025-02-18 02:22:25.650
