user_id,lat,lon
22413502,40.8919,14.2186
25125242,40.8478,14.1987
24558197,40.8667,14.1753
26550356,40.9005,14.2485
26543810,40.8999,14.1696
22265263,40.8107,14.1979
26521508,40.8734,14.2472
24812283,40.946,14.3665
22245467,40.9157,14.0555
22267712,40.797,14.0644
25059296,40.8633,14.2733
22323239,40.8516,14.2279
24808963,40.8829,14.1044
26544064,40.8514,14.1749
26252668,40.8469,14.2472
6793841,40.8238,14.2009
22325221,40.8613,14.2661
24817715,40.8299,14.0557
22319598,40.926,14.1801
8347008,40.9124,14.264
24833880,40.902,14.2485
25480481,40.8499,14.2039
19518323,40.8251,14.3278
24828816,40.9028,14.0911
22333334,40.9747,14.204
25490126,40.8552,14.2513
25799433,40.833,14.199
25135139,40.8897,14.2598
24699263,40.8657,14.2659
22305356,40.8222,14.0738
19056499,40.8333,14.3368
24811459,40.921,14.1968
26545699,40.8183,14.1799
26546365,40.8648,14.1719
22233505,40.8453,14.2013
24758809,40.8812,14.0778
26547249,40.8305,14.3358
24812895,40.7639,14.0233
24846739,40.8966,14.1871
22361009,40.8321,14.3461
26560124,40.8539,14.2626
24515051,40.8563,14.3291
26554782,40.8824,14.068
24815510,40.8429,14.3161
24906112,40.8964,14.1875
12285073,40.7568,14.4368
26517391,40.8237,14.2041
22267360,40.9152,14.1918
24818241,40.9193,14.1445
26557231,40.8696,14.1587
24811559,40.8736,14.136
25945243,40.8264,14.0688
25915950,40.8695,14.0876
25669574,40.9243,14.1633
24835579,40.8409,14.3222
26542271,40.8575,14.3312
24563878,40.8186,14.1817
24780973,40.8354,14.2409
24837352,40.8782,14.1527
21778136,40.891,14.2704
22323047,40.8607,14.2676
26550652,40.8907,14.1501
20433271,40.8725,14.1404
26544527,40.9006,14.1721
26549855,40.8614,14.2206
22400188,40.817,14.3448
26538921,40.84,14.0986
22323727,40.9075,14.2088
26241186,40.8931,14.1785
26556498,40.8902,14.2814
26545971,40.8629,14.3339
26546310,40.8937,14.2636
24797687,40.8815,14.133
12279054,40.8421,14.2198
24946064,40.8415,14.19
24829328,40.947,14.3798
22267718,40.8433,14.1888
26558189,40.8437,14.1933
26547943,40.8991,14.166
26539942,40.8287,14.2068
24060873,40.9139,14.0673
26032596,40.9023,14.1901
24849663,40.8619,14.1824
19410024,40.8811,14.1376
24818007,40.8258,14.2012
26560745,40.8607,14.1738
22289255,40.881,14.3576
24831030,40.9021,14.1748
26540391,40.8961,14.0668
26562243,40.9162,14.1546
24327332,40.8471,14.3675
25933906,40.7866,14.3642
22281699,40.8445,14.2069
24836395,40.7545,14.0132
22319003,40.9006,14.204
25933408,40.8672,14.2598
24829092,40.8066,14.353
26547377,41.0805,14.0193
24849331,40.8746,14.2216
24849962,40.9035,14.1716
24847084,40.8038,14.0588
26559884,40.8315,14.1559
25081533,40.8238,14.1947
