"emergency","temp","precip","wind","is_holiday","sin_24h","cos_24h","sin_12h","cos_12h","time","status","lon","lat"
0,11.7,0.6,12.4,1,0.297652590151212,0.954674256265599,0.568322530256275,0.822805871152549,10.4833333333333,1,-122.413157692,37.77745742
0,11.7,0.6,12.4,1,0.257554429774006,0.966263791986322,0.497731039912612,0.867331431407573,10.65,1,-122.408706313,37.748352848
1,11.6,0.7,13.9,1,0.398949130905842,0.916973059009627,0.731651209911925,0.681679181898946,5.21666666666667,1,-122.496702184,37.75147608
0,11.7,0.6,12.4,1,0.180304558948795,0.983610830573902,0.354699033967771,0.934980532044561,21.2166666666667,1,-122.435187962,37.762670707
0,11.9,0.9,19.3,1,0.0145438976515827,0.999894231927107,0.0290847187431114,0.999576950082201,5.01666666666667,1,-122.417658993,37.755502498
1,11.9,0.9,19.3,1,0.0353355598776212,0.999375504106507,0.0706269859311667,0.99750279641627,5.41666666666667,1,-122.388672812,37.727044147
1,11.9,0.9,19.3,1,0.0469611675687192,0.998896715752226,0.0938187121045672,0.995589297481165,7.7,1,-122.479753557,37.719573059
1,11.4,0.8,12.3,1,0.73639235989658,0.676554722314423,0.996419457128586,-0.0845474154281089,7.11666666666667,1,-122.415371921,37.789319849
1,11.6,0.7,13.9,1,0.434707241517608,0.900571826214962,0.782970188724762,0.622059228344304,6.85,1,-122.412479935,37.770629854
0,11.7,0.6,12.4,1,0.182521535036821,0.983201855799613,0.358911023943193,0.933371778495605,17.9833333333333,1,-122.43270618,37.783292592
0,11.9,0.9,19.3,1,0.072948087011407,0.99733573915777,0.145507468559334,0.989357153202752,7.93333333333333,1,-122.406821216,37.794197957
1,11.6,0.7,13.9,1,0.57411244722108,0.818776463966706,0.940139518909896,0.340789795891644,7.66666666666667,1,-122.479847738,37.740995289
0,11.7,0.6,12.4,1,0.371165262529728,0.928566824677276,0.689303498515473,0.724472695782477,22.9166666666667,1,-122.419833091,37.786358951
0,11.6,0.7,13.9,1,0.482645599749232,0.875815748341342,0.845417234256058,0.534106450085409,11.4,1,-122.457733044,37.781314586
1,11.4,0.8,12.3,1,0.713148498490331,0.701012994958715,0.999852729554034,-0.0171615617980265,9.75,1,-122.433074471,37.764195713
1,11.6,0.7,13.9,1,0.422750074394539,0.906246310116301,0.766231390042886,0.642564749198823,11.8833333333333,1,-122.406304986,37.794263627
1,11.4,0.8,12.3,1,0.669292719483741,0.742998826140431,0.994567409841513,0.104094511292117,5.95,1,-122.385490088,37.749121499
1,11.4,0.8,12.3,1,0.674356087788457,0.738406302019862,0.995897570056911,0.0904877337252949,7.48333333333333,1,-122.50806756,37.760329816
0,11.6,0.7,13.9,1,0.479521677308752,0.877530034238715,0.841589347813911,0.540117921982002,10.75,1,-122.408160793,37.780535387
1,11.4,0.8,12.3,1,0.695547141113339,0.718480462148458,0.9994740627863,0.0324283489781222,10.6166666666667,1,-122.507891878,37.780720539
0,11.7,0.6,12.4,1,0.235212795479341,0.971943897991439,0.457227282591309,0.889349881685587,9.96666666666667,1,-122.425766807,37.758226829
1,11.7,0.6,12.4,1,0.278432382636512,0.960455833601606,0.534844012333664,0.84495081659871,7.63333333333333,1,-122.42378108,37.78920314
1,11.7,0.6,12.4,1,0.234717992740651,0.972063508153557,0.456321590900476,0.8898149277676,8.76666666666667,1,-122.435187962,37.762670707
1,11.9,0.9,19.3,1,0.11450369892893,0.993422821829453,0.227501175399776,0.973777805863186,9.98333333333333,1,-122.388306068,37.781798236
0,13,0.9,14.1,1,-0.996301685240565,0.0859241059703849,-0.171212663162167,-0.98523409602638,14.8833333333333,1,-122.419825234,37.766673602
0,14.1,0,21.1,1,0.484427949268182,0.874831161978026,0.847585331505832,0.530659123935648,14.4666666666667,1,-122.403076401,37.775602763
0,12.3,0.4,11.9,1,-0.770559595518954,-0.637367954758996,0.98225998683167,-0.187524180492669,14.2333333333333,1,-122.41770675,37.78423574
0,12.4,0.1,14,1,0.627227036431099,-0.778836468566965,-0.97701458008744,0.213172489539721,6.06666666666667,1,-122.417016878,37.789110176
1,13.9,3.1,25.3,1,-0.771670838260829,0.636022104472659,-0.981599421021666,-0.190951765244341,7.61666666666667,1,-122.372585949,37.728343906
0,12.4,0,12.4,1,0.477733842473922,-0.878504624777298,-0.83938278005194,0.543540751510204,20.5166666666667,1,-122.408595045,37.789225615
1,14.1,0,21.1,1,0.599780331483267,0.800164704273953,0.959846103141283,0.280527107931645,8.76666666666667,1,-122.431114488,37.766796199
0,12.6,0.6,13.3,1,-0.155500647872832,-0.987835790256219,0.307218210753626,0.951639097022259,6.23333333333333,1,-122.504227751,37.736182124
1,13.9,1.5,25.4,1,-0.432282487853634,0.901738238456745,-0.77961129822567,0.626263701390145,4.8,1,-122.415693873,37.782585033
1,12.3,0.4,11.9,1,-0.738700475071026,-0.674033833075047,0.995818225412964,-0.0913567837403191,3.7,1,-122.416113016,37.793013608
1,14.1,0,21.1,1,0.449708762635766,0.893175250893467,0.803337473792382,0.595524057617217,6.45,1,-122.410219925,37.754340615
1,13,0.9,14.1,1,-0.997538620145592,0.0701191936493081,-0.139893207357305,-0.990166597363942,8.16666666666667,1,-122.405799579,37.791778213
0,12.1,0.2,13.5,1,0.903116824527198,-0.429394924580985,-0.77558756151135,-0.631239997488181,13.4166666666667,1,-122.390971018,37.7900698
1,14.1,1,24.5,1,-0.242697998973652,0.970101892222763,-0.470883576086036,0.88219536258837,7.2,1,-122.411899822,37.75262859
